timestamp,brightness_sum,brightness_mean,red_sum,green_sum,blue_sum,red_mean,green_mean,blue_mean
2026-05-27 09:10:00,96174.765625,72.85967254638672,68169.0,98151.0,159067.0,51.64318084716797,74.35681915283203,120.50530242919922
2026-05-27 09:20:00,101968.5234375,77.2488784790039,74903.0,103944.0,162097.0,56.74469757080078,78.74545288085938,122.8007583618164
2026-05-27 09:30:00,115277.71875,87.33160400390625,88292.0,117489.0,172837.0,66.88787841796875,89.00682067871094,130.93711853027344
2026-05-27 09:40:00,121728.34375,92.21844482421875,94752.0,124091.0,177762.0,71.78181457519531,94.00833129882812,134.66818237304688
2026-05-27 09:50:00,129155.78125,97.84529113769531,101743.0,131713.0,184547.0,77.07803344726562,99.78257751464844,139.80833435058594
2026-05-27 10:00:00,97579.796875,73.92408752441406,69357.0,99946.0,157246.0,52.543182373046875,75.71666717529297,119.1257553100586
2026-05-27 10:10:00,98813.59375,74.85877990722656,69993.0,101158.0,160459.0,53.025001525878906,76.63484954833984,121.55984497070312
2026-05-27 10:20:00,90195.296875,68.32977294921875,61419.0,92150.0,155570.0,46.529544830322266,69.81060791015625,117.85606384277344
2026-05-27 10:30:00,85319.75,64.63617706298828,55077.0,87605.0,151736.0,41.724998474121094,66.36742401123047,114.9515151977539
2026-05-27 10:40:00,87395.734375,66.20889282226562,55848.0,89760.0,156871.0,42.30908966064453,68.0,118.84166717529297
2026-05-27 10:50:00,82339.4296875,62.37835693359375,49528.0,85035.0,152256.0,37.52121353149414,64.42045593261719,115.34545135498047
2026-05-27 11:00:00,85210.6875,64.55355072021484,52364.0,87694.0,157334.0,39.66969680786133,66.43484497070312,119.19242095947266
2026-05-27 11:10:00,83383.375,63.16922378540039,50365.0,85850.0,156182.0,38.155303955078125,65.03787994384766,118.31969451904297
2026-05-27 11:20:00,84440.8984375,63.97037887573242,50899.0,86749.0,160351.0,38.55984878540039,65.71894073486328,121.47802734375
2026-05-27 11:30:00,81918.7578125,62.05966567993164,48044.0,84245.0,158625.0,36.396968841552734,63.82196807861328,120.17045593261719
2026-05-27 11:40:00,80400.890625,60.909767150878906,45208.0,82854.0,159735.0,34.24848556518555,62.76818084716797,121.01136016845703
2026-05-27 11:50:00,78357.2890625,59.3615837097168,42421.0,80992.0,158079.0,32.137123107910156,61.357574462890625,119.75682067871094
2026-05-27 12:00:00,82345.3671875,62.38285446166992,45263.0,85072.0,164529.0,34.2901496887207,64.448486328125,124.64318084716797
2026-05-27 12:10:00,77671.5,58.842044830322266,39679.0,80665.0,159892.0,30.05984878540039,61.10984802246094,121.13030242919922
2026-05-27 12:20:00,81272.8359375,61.57033157348633,41804.0,84574.0,164796.0,31.669696807861328,64.07121276855469,124.84545135498047
2026-05-27 12:30:00,77750.296875,58.90174102783203,37995.0,81129.0,161347.0,28.784090042114258,61.46136474609375,122.23257446289062
2026-05-27 12:40:00,77822.625,58.95653533935547,37334.0,81318.0,162422.0,28.28333282470703,61.60454559326172,123.04696655273438
2026-05-27 12:50:00,79016.1015625,59.86068344116211,38358.0,82557.0,163663.0,29.059091567993164,62.543182373046875,123.98712158203125
2026-05-27 13:00:00,78104.796875,59.1702995300293,37113.0,81660.0,163593.0,28.115909576416016,61.8636360168457,123.93408966064453
2026-05-27 13:10:00,81025.765625,61.383155822753906,39092.0,84868.0,166446.0,29.61515235900879,64.29393768310547,126.09545135498047
2026-05-27 13:20:00,75515.3671875,57.20861053466797,32329.0,79630.0,161923.0,24.491666793823242,60.32575607299805,122.66893768310547
2026-05-27 13:30:00,75361.828125,57.09229278564453,30674.0,79936.0,161638.0,23.237878799438477,60.55757522583008,122.45303344726562
2026-05-27 13:40:00,78076.578125,59.148921966552734,33189.0,82730.0,164158.0,25.1431827545166,62.67424392700195,124.36212158203125
2026-05-27 13:50:00,77453.3359375,58.6767692565918,31416.0,82425.0,163763.0,23.799999237060547,62.443180084228516,124.06288146972656
2026-05-27 14:00:00,79482.5234375,60.21403121948242,32355.0,84600.0,167564.0,24.511363983154297,64.09091186523438,126.94242095947266
2026-05-27 14:10:00,78227.71875,59.263423919677734,28998.0,83878.0,167218.0,21.968181610107422,63.54393768310547,126.68030548095703
2026-05-27 14:20:00,80412.828125,60.91880798339844,30229.0,86023.0,172610.0,22.9007568359375,65.16893768310547,130.76515197753906
